state_name	county_set	init_inf	R0	scenario_label	output_path
District-of-Columbia	11001	1	0.5	District-of-Columbia_counties-11001_init-1_R0-0p5	input_files/District-of-Columbia_counties-11001_init-1_R0-0p5.json
District-of-Columbia	11001	1	1	District-of-Columbia_counties-11001_init-1_R0-1	input_files/District-of-Columbia_counties-11001_init-1_R0-1.json
District-of-Columbia	11001	1	1.5	District-of-Columbia_counties-11001_init-1_R0-1p5	input_files/District-of-Columbia_counties-11001_init-1_R0-1p5.json
District-of-Columbia	11001	1	2	District-of-Columbia_counties-11001_init-1_R0-2	input_files/District-of-Columbia_counties-11001_init-1_R0-2.json
District-of-Columbia	11001	1	2.5	District-of-Columbia_counties-11001_init-1_R0-2p5	input_files/District-of-Columbia_counties-11001_init-1_R0-2p5.json
District-of-Columbia	11001	1	3	District-of-Columbia_counties-11001_init-1_R0-3	input_files/District-of-Columbia_counties-11001_init-1_R0-3.json
District-of-Columbia	11001	1	3.5	District-of-Columbia_counties-11001_init-1_R0-3p5	input_files/District-of-Columbia_counties-11001_init-1_R0-3p5.json
District-of-Columbia	11001	1	4	District-of-Columbia_counties-11001_init-1_R0-4	input_files/District-of-Columbia_counties-11001_init-1_R0-4.json
District-of-Columbia	11001	1	4.5	District-of-Columbia_counties-11001_init-1_R0-4p5	input_files/District-of-Columbia_counties-11001_init-1_R0-4p5.json
District-of-Columbia	11001	1	5	District-of-Columbia_counties-11001_init-1_R0-5	input_files/District-of-Columbia_counties-11001_init-1_R0-5.json
District-of-Columbia	11001	10	0.5	District-of-Columbia_counties-11001_init-10_R0-0p5	input_files/District-of-Columbia_counties-11001_init-10_R0-0p5.json
District-of-Columbia	11001	10	1	District-of-Columbia_counties-11001_init-10_R0-1	input_files/District-of-Columbia_counties-11001_init-10_R0-1.json
District-of-Columbia	11001	10	1.5	District-of-Columbia_counties-11001_init-10_R0-1p5	input_files/District-of-Columbia_counties-11001_init-10_R0-1p5.json
District-of-Columbia	11001	10	2	District-of-Columbia_counties-11001_init-10_R0-2	input_files/District-of-Columbia_counties-11001_init-10_R0-2.json
District-of-Columbia	11001	10	2.5	District-of-Columbia_counties-11001_init-10_R0-2p5	input_files/District-of-Columbia_counties-11001_init-10_R0-2p5.json
District-of-Columbia	11001	10	3	District-of-Columbia_counties-11001_init-10_R0-3	input_files/District-of-Columbia_counties-11001_init-10_R0-3.json
District-of-Columbia	11001	10	3.5	District-of-Columbia_counties-11001_init-10_R0-3p5	input_files/District-of-Columbia_counties-11001_init-10_R0-3p5.json
District-of-Columbia	11001	10	4	District-of-Columbia_counties-11001_init-10_R0-4	input_files/District-of-Columbia_counties-11001_init-10_R0-4.json
District-of-Columbia	11001	10	4.5	District-of-Columbia_counties-11001_init-10_R0-4p5	input_files/District-of-Columbia_counties-11001_init-10_R0-4p5.json
District-of-Columbia	11001	10	5	District-of-Columbia_counties-11001_init-10_R0-5	input_files/District-of-Columbia_counties-11001_init-10_R0-5.json
District-of-Columbia	11001	100	0.5	District-of-Columbia_counties-11001_init-100_R0-0p5	input_files/District-of-Columbia_counties-11001_init-100_R0-0p5.json
District-of-Columbia	11001	100	1	District-of-Columbia_counties-11001_init-100_R0-1	input_files/District-of-Columbia_counties-11001_init-100_R0-1.json
District-of-Columbia	11001	100	1.5	District-of-Columbia_counties-11001_init-100_R0-1p5	input_files/District-of-Columbia_counties-11001_init-100_R0-1p5.json
District-of-Columbia	11001	100	2	District-of-Columbia_counties-11001_init-100_R0-2	input_files/District-of-Columbia_counties-11001_init-100_R0-2.json
District-of-Columbia	11001	100	2.5	District-of-Columbia_counties-11001_init-100_R0-2p5	input_files/District-of-Columbia_counties-11001_init-100_R0-2p5.json
District-of-Columbia	11001	100	3	District-of-Columbia_counties-11001_init-100_R0-3	input_files/District-of-Columbia_counties-11001_init-100_R0-3.json
District-of-Columbia	11001	100	3.5	District-of-Columbia_counties-11001_init-100_R0-3p5	input_files/District-of-Columbia_counties-11001_init-100_R0-3p5.json
District-of-Columbia	11001	100	4	District-of-Columbia_counties-11001_init-100_R0-4	input_files/District-of-Columbia_counties-11001_init-100_R0-4.json
District-of-Columbia	11001	100	4.5	District-of-Columbia_counties-11001_init-100_R0-4p5	input_files/District-of-Columbia_counties-11001_init-100_R0-4p5.json
District-of-Columbia	11001	100	5	District-of-Columbia_counties-11001_init-100_R0-5	input_files/District-of-Columbia_counties-11001_init-100_R0-5.json
District-of-Columbia	11001	1000	0.5	District-of-Columbia_counties-11001_init-1000_R0-0p5	input_files/District-of-Columbia_counties-11001_init-1000_R0-0p5.json
District-of-Columbia	11001	1000	1	District-of-Columbia_counties-11001_init-1000_R0-1	input_files/District-of-Columbia_counties-11001_init-1000_R0-1.json
District-of-Columbia	11001	1000	1.5	District-of-Columbia_counties-11001_init-1000_R0-1p5	input_files/District-of-Columbia_counties-11001_init-1000_R0-1p5.json
District-of-Columbia	11001	1000	2	District-of-Columbia_counties-11001_init-1000_R0-2	input_files/District-of-Columbia_counties-11001_init-1000_R0-2.json
District-of-Columbia	11001	1000	2.5	District-of-Columbia_counties-11001_init-1000_R0-2p5	input_files/District-of-Columbia_counties-11001_init-1000_R0-2p5.json
District-of-Columbia	11001	1000	3	District-of-Columbia_counties-11001_init-1000_R0-3	input_files/District-of-Columbia_counties-11001_init-1000_R0-3.json
District-of-Columbia	11001	1000	3.5	District-of-Columbia_counties-11001_init-1000_R0-3p5	input_files/District-of-Columbia_counties-11001_init-1000_R0-3p5.json
District-of-Columbia	11001	1000	4	District-of-Columbia_counties-11001_init-1000_R0-4	input_files/District-of-Columbia_counties-11001_init-1000_R0-4.json
District-of-Columbia	11001	1000	4.5	District-of-Columbia_counties-11001_init-1000_R0-4p5	input_files/District-of-Columbia_counties-11001_init-1000_R0-4p5.json
District-of-Columbia	11001	1000	5	District-of-Columbia_counties-11001_init-1000_R0-5	input_files/District-of-Columbia_counties-11001_init-1000_R0-5.json
New-Jersey	34013	1	0.5	New-Jersey_counties-34013_init-1_R0-0p5	input_files/New-Jersey_counties-34013_init-1_R0-0p5.json
