STATE_NAME	STATE_NAME_DIR	fips	scenario_type	scenario_hash	batch_num	output_path
Alabama	Alabama	01073	baseline	50b0869cff6d0d4262deb04018b71907be2c643553b8e327e2b8a716acf82f40	019c9b05-ebd9-71f8-80c3-b6a67e8e8bb0	../US_Vax_Compare/input_files/Alabama_50b0869cff6d0d4262deb04018b71907be2c643553b8e327e2b8a716acf82f40.json
Alabama	Alabama	01073	vax	37e01cb8ae119c8323b47fca1bc851569eade71b6949d5f113efa5d0eda44bc7	019c9b05-ebe8-70a2-8004-4bf4813dde3a	../US_Vax_Compare/input_files/Alabama_37e01cb8ae119c8323b47fca1bc851569eade71b6949d5f113efa5d0eda44bc7.json
Alaska	Alaska	02020	baseline	6617cd052a863ee1aba929fdce1092860047e5b3e8a1b3e00482ae71792720aa	019c9b05-ebf4-7145-800a-a5d4f01ff0b5	../US_Vax_Compare/input_files/Alaska_6617cd052a863ee1aba929fdce1092860047e5b3e8a1b3e00482ae71792720aa.json
Alaska	Alaska	02020	vax	c304a0a73dc1cf3cb8d4f793c139f267780394e30c192fbf44fb0df3f649a745	019c9b05-ebfe-7282-80eb-42b799550d1f	../US_Vax_Compare/input_files/Alaska_c304a0a73dc1cf3cb8d4f793c139f267780394e30c192fbf44fb0df3f649a745.json
Arizona	Arizona	04013	baseline	9191f8366ec0ed6cd5ed6d91573b83f60c7ae052defa6f5381c3698f0c1ae769	019c9b05-ec04-718f-8022-9c96d7f00807	../US_Vax_Compare/input_files/Arizona_9191f8366ec0ed6cd5ed6d91573b83f60c7ae052defa6f5381c3698f0c1ae769.json
Arizona	Arizona	04013	vax	f480e47c06c3304445cf9369edb30f748bde519348a4bcb46e6aa48f1a308132	019c9b05-ec0b-7342-80e8-ae40d662fd8b	../US_Vax_Compare/input_files/Arizona_f480e47c06c3304445cf9369edb30f748bde519348a4bcb46e6aa48f1a308132.json
Arkansas	Arkansas	05119	baseline	c7c82040c26b4a682c708f18656d9a170a4f9df6a9832d25f0f84e5b4a304801	019c9b05-ec11-71ae-80dc-309647fe9cc9	../US_Vax_Compare/input_files/Arkansas_c7c82040c26b4a682c708f18656d9a170a4f9df6a9832d25f0f84e5b4a304801.json
Arkansas	Arkansas	05119	vax	b6006ebe03e548a6077148d74f2b3267c8066bf476ba628bf306cce72feffd81	019c9b05-ec1d-7076-8030-dab8a38de057	../US_Vax_Compare/input_files/Arkansas_b6006ebe03e548a6077148d74f2b3267c8066bf476ba628bf306cce72feffd81.json
California	California	06037	baseline	99a5fd23ccefba1d64f6c8d40d37f6662e0f99a23ad6d0100997c9193d6ce342	019c9b05-ec22-7223-80cb-8e8a7fa47dc3	../US_Vax_Compare/input_files/California_99a5fd23ccefba1d64f6c8d40d37f6662e0f99a23ad6d0100997c9193d6ce342.json
California	California	06037	vax	e465955fbca24885f5d0eacc84071046d16ab2b6da2727fb81f6b6a3af157594	019c9b05-ec2c-70d1-8002-0adbaff5f440	../US_Vax_Compare/input_files/California_e465955fbca24885f5d0eacc84071046d16ab2b6da2727fb81f6b6a3af157594.json
