fips,age_group,pop,STATE_FIPS,COUNTY_NAME,STATE_NAME
01001,0-4,3430,01,Autauga County,Alabama
01001,18-49,24116,01,Autauga County,Alabama
01001,5-17,10496,01,Autauga County,Alabama
01001,50-64,11769,01,Autauga County,Alabama
01001,65+,9474,01,Autauga County,Alabama
01003,0-4,12448,01,Baldwin County,Alabama
01003,18-49,87325,01,Baldwin County,Alabama
01003,5-17,38680,01,Baldwin County,Alabama
01003,50-64,50166,01,Baldwin County,Alabama
01003,65+,51326,01,Baldwin County,Alabama
01005,0-4,1380,01,Barbour County,Alabama
01005,18-49,9878,01,Barbour County,Alabama
01005,5-17,3801,01,Barbour County,Alabama
01005,50-64,4817,01,Barbour County,Alabama
01005,65+,4881,01,Barbour County,Alabama
01007,0-4,1069,01,Bibb County,Alabama
01007,18-49,9483,01,Bibb County,Alabama
01007,5-17,3389,01,Bibb County,Alabama
01007,50-64,4455,01,Bibb County,Alabama
01007,65+,3756,01,Bibb County,Alabama
01009,0-4,3397,01,Blount County,Alabama
01009,18-49,22508,01,Blount County,Alabama
01009,5-17,10341,01,Blount County,Alabama
01009,50-64,12027,01,Blount County,Alabama
01009,65+,11019,01,Blount County,Alabama
01011,0-4,552,01,Bullock County,Alabama
01011,18-49,4166,01,Bullock County,Alabama
01011,5-17,1553,01,Bullock County,Alabama
01011,50-64,2069,01,Bullock County,Alabama
01011,65+,1817,01,Bullock County,Alabama
01013,0-4,1066,01,Butler County,Alabama
01013,18-49,6923,01,Butler County,Alabama
01013,5-17,3153,01,Butler County,Alabama
01013,50-64,3639,01,Butler County,Alabama
01013,65+,4026,01,Butler County,Alabama
01015,0-4,6504,01,Calhoun County,Alabama
01015,18-49,48197,01,Calhoun County,Alabama
01015,5-17,18325,01,Calhoun County,Alabama
01015,50-64,22176,01,Calhoun County,Alabama
01015,65+,20939,01,Calhoun County,Alabama
01017,0-4,1985,01,Chambers County,Alabama
01017,18-49,13040,01,Chambers County,Alabama
01017,5-17,5156,01,Chambers County,Alabama
01017,50-64,7385,01,Chambers County,Alabama
01017,65+,6884,01,Chambers County,Alabama
01019,0-4,1178,01,Cherokee County,Alabama
01019,18-49,8673,01,Cherokee County,Alabama
01019,5-17,3569,01,Cherokee County,Alabama
01019,50-64,5801,01,Cherokee County,Alabama
01019,65+,6003,01,Cherokee County,Alabama
01021,0-4,2758,01,Chilton County,Alabama
01021,18-49,17821,01,Chilton County,Alabama
01021,5-17,8208,01,Chilton County,Alabama
01021,50-64,9027,01,Chilton County,Alabama
01021,65+,7686,01,Chilton County,Alabama
01023,0-4,674,01,Choctaw County,Alabama
01023,18-49,4297,01,Choctaw County,Alabama
01023,5-17,1818,01,Choctaw County,Alabama
01023,50-64,2754,01,Choctaw County,Alabama
01023,65+,2982,01,Choctaw County,Alabama
01025,0-4,1336,01,Clarke County,Alabama
01025,18-49,8405,01,Clarke County,Alabama
01025,5-17,3614,01,Clarke County,Alabama
01025,50-64,4745,01,Clarke County,Alabama
01025,65+,4702,01,Clarke County,Alabama
01027,0-4,744,01,Clay County,Alabama
01027,18-49,5197,01,Clay County,Alabama
01027,5-17,2188,01,Clay County,Alabama
01027,50-64,3149,01,Clay County,Alabama
01027,65+,2910,01,Clay County,Alabama
01029,0-4,900,01,Cleburne County,Alabama
01029,18-49,5658,01,Cleburne County,Alabama
01029,5-17,2427,01,Cleburne County,Alabama
01029,50-64,3152,01,Cleburne County,Alabama
01029,65+,3117,01,Cleburne County,Alabama
01031,0-4,3339,01,Coffee County,Alabama
01031,18-49,21908,01,Coffee County,Alabama
01031,5-17,9706,01,Coffee County,Alabama
01031,50-64,10001,01,Coffee County,Alabama
01031,65+,9277,01,Coffee County,Alabama
01033,0-4,3246,01,Colbert County,Alabama
01033,18-49,21846,01,Colbert County,Alabama
01033,5-17,9065,01,Colbert County,Alabama
01033,50-64,11891,01,Colbert County,Alabama
01033,65+,11600,01,Colbert County,Alabama
01035,0-4,608,01,Conecuh County,Alabama
01035,18-49,3910,01,Conecuh County,Alabama
01035,5-17,1697,01,Conecuh County,Alabama
01035,50-64,2422,01,Conecuh County,Alabama
01035,65+,2774,01,Conecuh County,Alabama
01037,0-4,496,01,Coosa County,Alabama
01037,18-49,3330,01,Coosa County,Alabama
01037,5-17,1246,01,Coosa County,Alabama
01037,50-64,2693,01,Coosa County,Alabama
01037,65+,2558,01,Coosa County,Alabama
01039,0-4,2185,01,Covington County,Alabama
01039,18-49,13418,01,Covington County,Alabama
01039,5-17,6134,01,Covington County,Alabama
01039,50-64,7662,01,Covington County,Alabama
01039,65+,8248,01,Covington County,Alabama
