"STATE_FIPS","COUNTY_NAME","COUNTY_FIPS","STATE_NAME"
"31","Cuming County","31039","Nebraska"
"53","Wahkiakum County","53069","Washington"
"35","De Baca County","35011","New Mexico"
"31","Lancaster County","31109","Nebraska"
"31","Nuckolls County","31129","Nebraska"
"46","Minnehaha County","46099","South Dakota"
"48","Menard County","48327","Texas"
"06","Sierra County","06091","California"
"21","Clinton County","21053","Kentucky"
"39","Hancock County","39063","Ohio"
"48","Hale County","48189","Texas"
"01","Clay County","01027","Alabama"
"48","Armstrong County","48011","Texas"
"39","Allen County","39003","Ohio"
"13","McDuffie County","13189","Georgia"
"55","Sauk County","55111","Wisconsin"
"05","Stone County","05137","Arkansas"
"41","Wallowa County","41063","Oregon"
"42","Beaver County","42007","Pennsylvania"
"28","Jasper County","28061","Mississippi"
"29","Henry County","29083","Missouri"
"08","Saguache County","08109","Colorado"
"37","Chatham County","37037","North Carolina"
"49","Rich County","49033","Utah"
"40","Adair County","40001","Oklahoma"
"39","Lake County","39085","Ohio"
"51","Salem city","51775","Virginia"
"51","Montgomery County","51121","Virginia"
"47","Hamilton County","47065","Tennessee"
"35","Otero County","35035","New Mexico"
"35","Catron County","35003","New Mexico"
"01","Marengo County","01091","Alabama"
"56","Lincoln County","56023","Wyoming"
"29","Barton County","29011","Missouri"
"48","Calhoun County","48057","Texas"
"51","Poquoson city","51735","Virginia"
"54","Pocahontas County","54075","West Virginia"
"48","Clay County","48077","Texas"
"51","James City County","51095","Virginia"
"31","Keith County","31101","Nebraska"
"31","Phelps County","31137","Nebraska"
"22","Calcasieu Parish","22019","Louisiana"
"22","Union Parish","22111","Louisiana"
"40","Sequoyah County","40135","Oklahoma"
"01","DeKalb County","01049","Alabama"
"36","Steuben County","36101","New York"
"42","Forest County","42053","Pennsylvania"
"22","Tangipahoa Parish","22105","Louisiana"
"51","Stafford County","51179","Virginia"
"26","Menominee County","26109","Michigan"
"18","Jasper County","18073","Indiana"
"13","Brantley County","13025","Georgia"
"13","Lamar County","13171","Georgia"
"18","Steuben County","18151","Indiana"
"48","Orange County","48361","Texas"
"39","Fayette County","39047","Ohio"
"25","Hampshire County","25015","Massachusetts"
"21","Allen County","21003","Kentucky"
"37","Alamance County","37001","North Carolina"
"20","Greenwood County","20073","Kansas"
"25","Suffolk County","25025","Massachusetts"
"16","Jefferson County","16051","Idaho"
"48","Gonzales County","48177","Texas"
"47","Marion County","47115","Tennessee"
"26","Alpena County","26007","Michigan"
"21","Wayne County","21231","Kentucky"
"47","White County","47185","Tennessee"
"48","Fannin County","48147","Texas"
"20","Doniphan County","20043","Kansas"
"48","Kerr County","48265","Texas"
"12","Hernando County","12053","Florida"
"12","Wakulla County","12129","Florida"
"12","Walton County","12131","Florida"
"28","Chickasaw County","28017","Mississippi"
"02","Ketchikan Gateway Borough","02130","Alaska"
"26","Clare County","26035","Michigan"
"20","Republic County","20157","Kansas"
"12","Volusia County","12127","Florida"
"40","Canadian County","40017","Oklahoma"
"13","Floyd County","13115","Georgia"
"32","Churchill County","32001","Nevada"
"31","Webster County","31181","Nebraska"
"17","Hancock County","17067","Illinois"
"46","Hutchinson County","46067","South Dakota"
"41","Crook County","41013","Oregon"
"50","Franklin County","50011","Vermont"
"26","Marquette County","26103","Michigan"
"37","Davidson County","37057","North Carolina"
"17","Clay County","17025","Illinois"
"29","Knox County","29103","Missouri"
"29","Livingston County","29117","Missouri"
"42","Tioga County","42117","Pennsylvania"
"31","Dakota County","31043","Nebraska"
"26","Leelanau County","26089","Michigan"
"51","Surry County","51181","Virginia"
"48","Refugio County","48391","Texas"
"39","Butler County","39017","Ohio"
"13","Terrell County","13273","Georgia"
"13","Clayton County","13063","Georgia"
"56","Fremont County","56013","Wyoming"
"18","Ohio County","18115","Indiana"
"13","Columbia County","13073","Georgia"
"08","Sedgwick County","08115","Colorado"
"30","Musselshell County","30065","Montana"
"42","Dauphin County","42043","Pennsylvania"
"46","Moody County","46101","South Dakota"
"54","Putnam County","54079","West Virginia"
"34","Sussex County","34037","New Jersey"
"20","Decatur County","20039","Kansas"
"18","Perry County","18123","Indiana"
"28","Union County","28145","Mississippi"
"31","Boyd County","31015","Nebraska"
"27","Mille Lacs County","27095","Minnesota"
"38","Walsh County","38099","North Dakota"
"39","Morgan County","39115","Ohio"
"39","Portage County","39133","Ohio"
"56","Uinta County","56041","Wyoming"
"32","Humboldt County","32013","Nevada"
"48","Jim Hogg County","48247","Texas"
"08","Cheyenne County","08017","Colorado"
"41","Clackamas County","41005","Oregon"
"05","Polk County","05113","Arkansas"
"13","Macon County","13193","Georgia"
"18","Benton County","18007","Indiana"
"47","Morgan County","47129","Tennessee"
"46","Douglas County","46043","South Dakota"
"24","Worcester County","24047","Maryland"
"17","Wabash County","17185","Illinois"
"18","Huntington County","18069","Indiana"
"21","Scott County","21209","Kentucky"
"19","Decatur County","19053","Iowa"
"18","Wabash County","18169","Indiana"
"18","Allen County","18003","Indiana"
"18","Marshall County","18099","Indiana"
"31","Thomas County","31171","Nebraska"
"38","Sioux County","38085","North Dakota"
"48","Dimmit County","48127","Texas"
"27","Fillmore County","27045","Minnesota"
"45","Chester County","45023","South Carolina"
"27","Lac qui Parle County","27073","Minnesota"
"49","Cache County","49005","Utah"
"55","Pierce County","55093","Wisconsin"
"13","Charlton County","13049","Georgia"
"13","Polk County","13233","Georgia"
"17","McLean County","17113","Illinois"
"23","Androscoggin County","23001","Maine"
"16","Kootenai County","16055","Idaho"
"32","Clark County","32003","Nevada"
"20","Phillips County","20147","Kansas"
"31","Holt County","31089","Nebraska"
"29","Johnson County","29101","Missouri"
"55","La Crosse County","55063","Wisconsin"
"22","Caldwell Parish","22021","Louisiana"
"21","Edmonson County","21061","Kentucky"
"17","Bond County","17005","Illinois"
"17","Brown County","17009","Illinois"
"27","McLeod County","27085","Minnesota"
"55","Dunn County","55033","Wisconsin"
"08","Custer County","08027","Colorado"
"29","Madison County","29123","Missouri"
"48","Nolan County","48353","Texas"
"42","Wayne County","42127","Pennsylvania"
